FamilyIncome,ParentEducation,FamilyIncomeSimp,ParentEducationSimp,MacArthur1,MacArthur2,StudyID
Unknown,"Master's degree (e.g., MA, MS, MEng, MEd, MBA)",Unknown,Postgrad.,7,7,93
"$100,000 through $199,999","Master's degree (e.g., MA, MS, MEng, MEd, MBA)",100k-200k,Postgrad.,6,9,94
"$100,000 through $199,999","Master's degree (e.g., MA, MS, MEng, MEd, MBA)",100k-200k,Postgrad.,6,8,98
"$200,000 or more","Master's degree (e.g., MA, MS, MEng, MEd, MBA)",>200k,Postgrad.,6,7,99
Unknown,"Doctoral degree (e.g., PhD, EdD)",Unknown,Postgrad.,6,8,100
"$100,000 through $199,999","Master's degree (e.g., MA, MS, MEng, MEd, MBA)",100k-200k,Postgrad.,5,3,106
"$100,000 through $199,999","Doctoral degree (e.g., PhD, EdD)",100k-200k,Postgrad.,8,8,110
"$200,000 or more","Master's degree (e.g., MA, MS, MEng, MEd, MBA)",>200k,Postgrad.,5,8,127
"$50,000 through $74,999","Associate degree: occupational, technical, or vocational program",50k-75k,Some Coll.,5,4,128
"$200,000 or more","Doctoral degree (e.g., PhD, EdD)",>200k,Postgrad.,7,7,11
"$200,000 or more","Doctoral degree (e.g., PhD, EdD)",>200k,Postgrad.,6,8,23
"$200,000 or more","Doctoral degree (e.g., PhD, EdD)",>200k,Postgrad.,7,7,31
"$200,000 or more","Master's degree (e.g., MA, MS, MEng, MEd, MBA)",>200k,Postgrad.,8,9,41
"$100,000 through $199,999","Master's degree (e.g., MA, MS, MEng, MEd, MBA)",100k-200k,Postgrad.,7,9,44
"Less than $25,000",High school graduate,<25k,High Sch.,2,5,52
"Less than $25,000","Bachelor's degree (e.g., BA, AB, BS, BBA)",<25k,Bach.,4,7,59
"$200,000 or more","Doctoral degree (e.g., PhD, EdD)",>200k,Postgrad.,NA,8,61
"$100,000 through $199,999","Doctoral degree (e.g., PhD, EdD)",100k-200k,Postgrad.,6,3,65
"$75,000 through $99,999","Associate degree: occupational, technical, or vocational program",75k-100k,Some Coll.,4,4,72
"$200,000 or more","Doctoral degree (e.g., PhD, EdD)",>200k,Postgrad.,7,7,88
