"$20, 1 week","$20, 3 months","$20, 1 year","$20, tomorrow","$20, 1 month","$20, 6 months","$200, 1 week","$200, 3 months","$200, 1 year","$200, tomorrow","$200, 1 month","$200, 6 months",auc_20,auc_200,StudyID
17.34375,12.96875,10.78125,17.65625,11.40625,7.96875,89.0625,151.5625,101.5625,192.1875,151.5625,101.5625,0.5272920234018265,0.5885630707762557,96
18.90625,9.84375,1.09375,19.84375,9.21875,9.21875,195.3125,148.4375,110.9375,198.4375,173.4375,173.4375,0.388507776826484,0.7660798373287672,103
9.84375,4.84375,0.15625,19.53125,4.84375,2.34375,151.5625,48.4375,23.4375,198.4375,98.4375,23.4375,0.1521653824200913,0.2191941352739726,116
19.84375,19.84375,9.84375,19.84375,19.84375,19.53125,195.3125,195.3125,195.3125,195.3125,195.3125,195.3125,0.8586098030821918,0.9738869863013698,121
19.84375,19.84375,18.28125,19.84375,19.84375,19.84375,198.4375,198.4375,198.4375,198.4375,198.4375,198.4375,0.9699379280821918,0.9894691780821918,131
15.15625,7.65625,0.15625,19.84375,6.40625,0.15625,135.9375,39.0625,1.5625,198.4375,42.1875,1.5625,0.16029537671232877,0.10546161529680365,117
19.84375,19.53125,17.96875,19.84375,19.84375,18.90625,198.4375,198.4375,189.0625,198.4375,198.4375,195.3125,0.9451983447488584,0.9718910530821918,2
19.84375,19.84375,17.65625,19.84375,18.90625,17.96875,198.4375,179.6875,170.3125,198.4375,192.1875,192.1875,0.9215592893835616,0.9194563356164384,6
13.90625,3.28125,0.15625,18.90625,8.90625,0.15625,182.8125,101.5625,1.5625,173.4375,132.8125,4.6875,0.12624500570776256,0.2371379138127854,10
17.03125,14.84375,1.09375,19.84375,17.03125,9.84375,192.1875,170.3125,23.4375,189.0625,195.3125,85.9375,0.4936144406392694,0.5270369577625571,19
19.84375,9.84375,4.84375,19.84375,14.84375,14.84375,192.1875,198.4375,104.6875,198.4375,160.9375,160.9375,0.5751997716894977,0.779070348173516,26
19.84375,19.84375,19.84375,19.84375,19.84375,15.15625,198.4375,198.4375,189.0625,198.4375,198.4375,189.0625,0.9015785530821918,0.9601723030821918,45
19.84375,4.84375,1.09375,19.84375,19.84375,0.15625,198.4375,98.4375,20.3125,198.4375,192.1875,23.4375,0.22970355308219176,0.3309146689497717,48
18.90625,4.84375,2.34375,19.53125,13.90625,3.90625,195.3125,179.6875,92.1875,198.4375,173.4375,157.8125,0.27936108732876713,0.7458975456621004,50
19.84375,19.84375,8.90625,19.84375,19.84375,19.84375,198.4375,189.0625,157.8125,198.4375,198.4375,189.0625,0.8527504280821918,0.9113441780821918,57
17.34375,6.09375,0.15625,19.84375,8.28125,0.46875,189.0625,35.9375,1.5625,148.4375,48.4375,23.4375,0.16510595034246575,0.15547766837899546,73
19.84375,18.59375,2.96875,19.84375,19.84375,17.96875,198.4375,189.0625,35.9375,198.4375,179.6875,167.1875,0.7303545947488584,0.7071650256849316,78
19.53125,14.84375,9.84375,19.84375,19.53125,19.53125,198.4375,198.4375,195.3125,198.4375,198.4375,198.4375,0.8040935359589041,0.9855629280821918,90
19.84375,14.84375,4.84375,19.84375,17.34375,12.34375,198.4375,189.0625,98.4375,198.4375,198.4375,170.3125,0.5948344748858447,0.8019691780821918,91
19.84375,19.84375,18.90625,19.84375,18.90625,4.84375,198.4375,198.4375,98.4375,198.4375,198.4375,10.9375,0.6910905393835616,0.5129066780821918,97
17.65625,9.84375,0.46875,18.59375,9.84375,9.84375,189.0625,98.4375,29.6875,185.9375,123.4375,95.3125,0.39298837043379,0.4353239155251142,104
19.84375,19.84375,2.34375,19.84375,19.84375,19.84375,198.4375,198.4375,173.4375,198.4375,198.4375,198.4375,0.7707191780821918,0.9582191780821918,112
19.84375,19.84375,17.96875,19.84375,19.84375,19.84375,198.4375,198.4375,198.4375,198.4375,198.4375,198.4375,0.9660316780821918,0.9894691780821918,132
19.84375,19.84375,2.03125,19.84375,19.84375,19.84375,198.4375,198.4375,192.1875,198.4375,198.4375,198.4375,0.7668129280821918,0.9816566780821918,133
19.84375,19.84375,14.84375,19.84375,19.84375,14.84375,198.4375,198.4375,148.4375,198.4375,198.4375,148.4375,0.8332191780821918,0.8332191780821918,8
19.84375,19.84375,19.84375,19.84375,19.84375,19.84375,198.4375,198.4375,198.4375,198.4375,198.4375,198.4375,0.9894691780821918,0.9894691780821918,18
13.90625,6.09375,3.90625,19.84375,12.03125,4.84375,98.4375,145.3125,48.4375,198.4375,157.8125,45.3125,0.3087257420091324,0.4159300085616438,21
19.84375,19.84375,9.84375,19.84375,19.84375,9.84375,198.4375,198.4375,189.0625,198.4375,198.4375,195.3125,0.6769691780821918,0.9718910530821918,34
19.84375,19.53125,1.09375,19.84375,19.84375,4.84375,198.4375,192.1875,95.3125,198.4375,192.1875,192.1875,0.4705889697488584,0.8387271689497717,36
19.84375,16.09375,9.53125,19.84375,18.59375,15.15625,198.4375,198.4375,195.3125,198.4375,198.4375,195.3125,0.7263966181506849,0.9797035530821918,38
19.53125,13.28125,9.21875,19.84375,18.90625,17.96875,189.0625,189.0625,117.1875,198.4375,189.0625,170.3125,0.747101526826484,0.8181078767123288,42
19.84375,9.84375,9.21875,19.84375,19.53125,14.84375,173.4375,148.4375,98.4375,198.4375,192.1875,98.4375,0.6569367151826484,0.616242151826484,46
17.96875,14.21875,0.15625,19.21875,19.21875,6.40625,189.0625,179.6875,20.3125,170.3125,170.3125,101.5625,0.4251872859589041,0.5463666523972602,55
17.03125,4.84375,1.09375,18.59375,4.21875,4.21875,151.5625,17.1875,7.8125,23.4375,48.4375,26.5625,0.20953017979452057,0.13692565639269405,62
17.34375,6.40625,11.71875,19.84375,7.34375,2.34375,176.5625,129.6875,48.4375,70.3125,142.1875,20.3125,0.34263876997716897,0.35423801369863017,75
19.84375,9.53125,5.15625,19.84375,9.84375,7.96875,173.4375,23.4375,23.4375,192.1875,48.4375,23.4375,0.41809182363013697,0.16845034246575344,79
